"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
16143,"for_sale                      ",890000,5,5,"4.91",1957724,"Ackworth","Iowa                          ","50001",3292,NULL
95190,"for_sale                      ",29000,2,1,"0.25",810802,"New Virginia","Iowa                          ","50210",1142,"1995-07-05"
81618,"for_sale                      ",1100000,4,3,"20.02",537942,"Milo","Iowa                          ","50166",1891,NULL
79025,"for_sale                      ",236850,3,3,"14.85",244509,"New Virginia","Iowa                          ","50210",2052,"2016-09-08"
93536,"for_sale                      ",199900,3,1,"0.5",932801,"New Virginia","Iowa                          ","50210",1692,"2022-03-22"
79107,"for_sale                      ",349900,5,3,"0.23",1326152,"Prairie City","Iowa                          ","50228",1668,NULL
47726,"for_sale                      ",160000,3,2,"0.23",957411,"Pleasantville","Iowa                          ","50225",1040,NULL
11256,"for_sale                      ",239900,4,3,"0.31",1463959,"Indianola","Iowa                          ","50125",1849,"2011-03-18"
75009,"for_sale                      ",116900,2,2,"0.09",209744,"Indianola","Iowa                          ","50125",983,"2018-11-16"
47725,"for_sale                      ",124000,2,1,"0.2",1330213,"Monroe","Iowa                          ","50170",1024,"2019-03-08"
78435,"for_sale                      ",175000,3,3,"0.1",336016,"Indianola","Iowa                          ","50125",1380,"2020-10-29"
78435,"for_sale                      ",135000,4,2,"0.23",680699,"Hartford","Iowa                          ","50118",1080,NULL
53207,"for_sale                      ",149000,2,1,"0.21",1578328,"Adair","Iowa                          ","50002",1104,NULL
49779,"for_sale                      ",19900,3,2,"0.16",928663,"Buckeye","Iowa                          ","50006",1590,"2018-11-06"
45133,"for_sale                      ",53900,3,2,"0.15",928288,"Alden","Iowa                          ","50006",1418,NULL
49779,"for_sale                      ",58000,4,1,"0.48",84693,"Buckeye","Iowa                          ","50006",1596,NULL
34849,"for_sale                      ",165000,3,2,"0.34",284621,"Alden","Iowa                          ","50006",1564,NULL
19193,"for_sale                      ",129500,4,2,"2.2",1623227,"Alden","Iowa                          ","50006",1536,NULL
34849,"for_sale                      ",112900,3,1,"0.32",1494060,"Alden","Iowa                          ","50006",1528,NULL
34849,"for_sale                      ",84900,2,1,"0.2",26254,"Alden","Iowa                          ","50006",1338,"2015-03-09"
34849,"for_sale                      ",369000,4,2,"3.85",179174,"Alden","Iowa                          ","50006",1880,NULL
34849,"for_sale                      ",219900,4,2,"0.22",344104,"Alden","Iowa                          ","50006",1700,NULL
34849,"for_sale                      ",117000,2,2,"0.2",278307,"Alden","Iowa                          ","50006",1220,"2019-05-08"
79107,"for_sale                      ",185000,2,2,"0.31",1496095,"Alden","Iowa                          ","50006",1232,NULL
79237,"for_sale                      ",434000,4,3,"0.46",384191,"Alleman","Iowa                          ","50007",1608,"2016-11-03"
47743,"for_sale                      ",149900,2,1,"0.15",1597152,"Des Moines","Iowa                          ","50316",769,"2020-11-23"
81756,"for_sale                      ",100000,1,1,"0.16",1786783,"Boone","Iowa                          ","50036",640,"2019-05-16"
79025,"for_sale                      ",184900,4,2,"0.15",413013,"Des Moines","Iowa                          ","50314",1656,NULL
78435,"for_sale                      ",239900,4,2,"0.21",1519725,"Nevada","Iowa                          ","50201",1764,"2019-09-04"
79237,"for_sale                      ",350000,3,3,"0.15",334876,"Grimes","Iowa                          ","50111",1565,NULL
79029,"for_sale                      ",1350000,4,4,"2.9",101464,"Ankeny","Iowa                          ","50021",4155,"2012-02-22"
79237,"for_sale                      ",200000,3,2,"0.17",621379,"Granger","Iowa                          ","50109",1005,"2016-10-13"
79025,"for_sale                      ",80000,2,1,"0.11",91409,"Altoona","Iowa                          ","50009",888,NULL
78435,"for_sale                      ",175000,5,1,"0.15",1056373,"Des Moines","Iowa                          ","50313",1492,"2016-04-22"
83598,"for_sale                      ",239900,3,2,"0.17",275400,"Des Moines","Iowa                          ","50317",1092,"2019-05-16"
81618,"for_sale                      ",225000,2,2,"0.15",774007,"Des Moines","Iowa                          ","50311",1184,NULL
47739,"for_sale                      ",219900,4,2,"0.64",1188998,"Des Moines","Iowa                          ","50320",1248,NULL
68653,"for_sale                      ",169900,4,2,"0.17",283410,"Des Moines","Iowa                          ","50317",1198,NULL
23989,"for_sale                      ",208000,3,4,"0.02",716462,"Ankeny","Iowa                          ","50021",1628,"2016-10-18"
79025,"for_sale                      ",220000,3,1,"0.23",1571714,"Altoona","Iowa                          ","50009",925,"2017-09-26"
83598,"for_sale                      ",239900,10,4,"0.24",403352,"Des Moines","Iowa                          ","50311",3132,"2017-06-27"
16143,"for_sale                      ",195000,1,2,"0.09",1512214,"West Des Moines","Iowa                          ","50265",1350,"2019-09-18"
78435,"for_sale                      ",320000,4,4,"0.27",1582331,"Huxley","Iowa                          ","50124",1430,"2007-05-10"
53207,"for_sale                      ",567900,4,3,"0.36",357723,"Urbandale","Iowa                          ","50323",1526,NULL
78435,"for_sale                      ",235000,3,2,"0.17",882378,"Des Moines","Iowa                          ","50312",1760,NULL
78435,"for_sale                      ",119900,2,1,"0.2",596351,"Des Moines","Iowa                          ","50315",864,"2017-09-22"
52527,"for_sale                      ",225000,3,3,"0.26",528770,"Des Moines","Iowa                          ","50317",1557,"2010-10-25"
78435,"for_sale                      ",245000,4,2,"0.21",150458,"Windsor Heights","Iowa                          ","50324",1379,"2019-05-06"
79107,"for_sale                      ",215000,3,2,"0.21",742776,"Ames","Iowa                          ","50010",864,"2020-06-03"
74003,"for_sale                      ",750000,3,4,"0.42",1126443,"Des Moines","Iowa                          ","50312",2058,NULL
78435,"for_sale                      ",281500,3,2,"0.38",585428,"Altoona","Iowa                          ","50009",1166,NULL
