"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
11296,"for_sale                      ",598472,5,4,"0.23",1235697,"Omaha","Nebraska                      ","68002",3300,NULL
67259,"for_sale                      ",315000,4,4,"0.25",1207067,"Omaha","Nebraska                      ","68137",2157,"2002-03-29"
11296,"for_sale                      ",215000,3,2,"0.18",1421310,"Omaha","Nebraska                      ","68137",1558,"2014-12-12"
8035,"for_sale                      ",220000,3,3,"0.01",95729,"Omaha","Nebraska                      ","68127",1905,"2015-10-29"
67749,"for_sale                      ",235000,3,3,"0.21",335536,"Omaha","Nebraska                      ","68137",1522,"2012-06-18"
11472,"for_sale                      ",369900,5,2,"0.29",832211,"Omaha","Nebraska                      ","68124",2139,"2021-03-30"
71735,"for_sale                      ",132000,3,2,"0.13",1178937,"Omaha","Nebraska                      ","68111",1613,"2003-01-15"
8035,"for_sale                      ",155000,2,2,"0.09",570959,"Omaha","Nebraska                      ","68107",1073,"2019-04-09"
69077,"for_sale                      ",130000,4,3,"0.17",1038574,"Omaha","Nebraska                      ","68131",1740,"1993-09-15"
67749,"for_sale                      ",169000,2,2,"0.3",1063775,"Omaha","Nebraska                      ","68111",1636,"2021-08-19"
110098,"for_sale                      ",200000,3,3,"0.13",1631942,"Omaha","Nebraska                      ","68124",1924,NULL
67751,"for_sale                      ",157500,2,2,"0.63",1237565,"Omaha","Nebraska                      ","68107",1554,NULL
67749,"for_sale                      ",485000,5,4,"0.36",549038,"Omaha","Nebraska                      ","68022",3208,"2015-09-25"
8035,"for_sale                      ",85000,2,1,"0.12",1524677,"Omaha","Nebraska                      ","68107",667,NULL
67749,"for_sale                      ",150000,3,1,"0.09",1201054,"Omaha","Nebraska                      ","68111",1646,NULL
11296,"for_sale                      ",149900,3,2,"0.17",1501842,"Omaha","Nebraska                      ","68152",1469,"2009-11-10"
33718,"for_sale                      ",120000,2,1,"0.14",1214978,"Omaha","Nebraska                      ","68111",768,NULL
67258,"for_sale                      ",168000,3,2,"0.11",803137,"Omaha","Nebraska                      ","68112",1996,"2016-12-05"
11296,"for_sale                      ",450000,2,3,"2.01",26510,"Omaha","Nebraska                      ","68152",2646,"2004-05-04"
8035,"for_sale                      ",284950,3,3,"0.21",1544104,"Omaha","Nebraska                      ","68122",3075,"2016-07-19"
11472,"for_sale                      ",155000,3,1,"0.15",1263587,"Omaha","Nebraska                      ","68132",1335,"2017-09-01"
81710,"for_sale                      ",435000,3,3,"0.24",169319,"Omaha","Nebraska                      ","68142",3703,"2016-05-18"
8035,"for_sale                      ",575000,2,2,"7.81",1150870,"Omaha","Nebraska                      ","68112",2084,NULL
64962,"for_sale                      ",375000,3,3,"0.11",375921,"Omaha","Nebraska                      ","68116",2752,"2011-10-14"
67749,"for_sale                      ",295000,3,2,"0.18",457176,"Omaha","Nebraska                      ","68135",2253,"2019-07-08"
8035,"for_sale                      ",278800,3,3,"0.19",454465,"Omaha","Nebraska                      ","68130",2108,"2012-12-28"
8035,"for_sale                      ",240000,3,3,"0.18",900545,"Omaha","Nebraska                      ","68144",1382,"1999-01-11"
11296,"for_sale                      ",895000,4,4,"0.71",1535121,"Omaha","Nebraska                      ","68132",3325,"2005-11-18"
67751,"for_sale                      ",205000,3,2,"0.16",1301366,"Omaha","Nebraska                      ","68137",1424,"2017-05-18"
22473,"for_sale                      ",220000,3,2,"0.21",1654437,"Omaha","Nebraska                      ","68122",1459,"2004-01-29"
103353,"for_sale                      ",175000,3,1,"0.23",1513428,"Omaha","Nebraska                      ","68104",1040,"1999-12-14"
67749,"for_sale                      ",190000,3,2,"0.24",1251106,"Omaha","Nebraska                      ","68106",1657,NULL
67751,"for_sale                      ",550000,5,4,"3.22",1514682,"Omaha","Nebraska                      ","68152",4018,NULL
8035,"for_sale                      ",540000,4,4,"0.5",1042065,"Omaha","Nebraska                      ","68116",3613,"2019-05-24"
